Rank,Player Name,Team,Games Played,Games Started,Minutes,Points,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,TR,AST,STL,TO,BLK,BLKA,FC,FD,PIR
1,ARTURS KURUCS,TDS,21,4,4:11,0.7,0,0.4,12.5%,0.1,0.6,25%,0.1,0.2,60%,0.2,0.1,0.3,0.4,0,0.2,0,0,0.8,0.2,-0.2
2,ILIMANE DIOP,TDS,27,4,6:43,1.3,0.3,0.7,36.8%,0.2,0.6,33.3%,0.3,0.4,58.3%,0.4,1,1.3,0.3,0.1,0.9,0.3,0.2,1.7,0.5,0.1
3,VITALY FRIDZON,ZEN,30,3,5:21,1.2,0.3,0.5,53.3%,0.2,0.5,31.2%,0.2,0.2,83.3%,0.2,0.5,0.6,0.3,0.2,0.4,0,0,1,0.3,0.6
4,MALTE DELOW,BER,23,2,8:20,1.6,0.5,1,45.8%,0.2,0.7,26.7%,0.1,0.1,66.7%,0.5,0.4,0.9,0.5,0.4,0.3,0,0.2,1.6,0.4,0.7
5,DIEGO FLACCADORI,BAY,22,4,5:17,1.2,0.3,0.9,36.8%,0.1,0.4,37.5%,0.2,0.2,80%,0.1,0.4,0.5,0.7,0.1,0.2,0,0,1,0.2,0.7
6,IVAN UKHOV,CSK,26,4,9:06,2.2,0.2,0.8,28.6%,0.6,1.5,38.5%,0,0.2,25%,0.2,0.5,0.8,0.8,0.3,0.4,0,0.1,1.7,0.5,0.7
7,SEMEN ANTONOV,CSK,32,1,8:30,1.8,0.3,0.8,40.7%,0.3,0.8,45.8%,0.1,0.2,50%,0.5,0.6,1,0.3,0.2,0.2,0.1,0.1,1.3,0.2,1.1
8,TIM SCHNEIDER,BER,28,0,11:13,2.8,0.6,1.7,36.2%,0.5,1.6,29.5%,0.2,0.2,71.4%,0.5,1,1.5,0.3,0.1,0.2,0.1,0.1,1.1,0.3,1.3
9,PAUL LACOMBE,ASV,25,1,11:20,2.4,0.8,1.8,45.7%,0.1,0.6,20%,0.3,0.6,53.3%,0.3,1.3,1.6,1.4,0.6,1.6,0.2,0,2.1,1,1.5
10,DOGUS BALBAY,EFS,29,1,6:41,1.4,0.4,0.5,85.7%,0.1,0.5,28.6%,0.2,0.3,62.5%,0.1,0.5,0.6,0.6,0.4,0.3,0.1,0,1.2,0.4,1.6
12,MELIH MAHMUTOGLU,FNB,28,5,13:40,4.1,0.8,1.4,56.4%,0.8,2.4,32.8%,0.2,0.2,85.7%,0.1,0.6,0.7,0.3,0.2,0.5,0,0.1,1,0.4,1.7
13,SERGI MARTINEZ,FCB,26,2,10:04,1.9,0.7,1.3,54.5%,0.1,0.5,21.4%,0.2,0.3,57.1%,0.7,1.4,2.1,0.4,0.2,0.7,0,0.1,1.4,0.5,1.8
14,OZ BLAYZER,MTA,33,6,10:31,2.5,0.6,1.1,54.3%,0.3,1.1,28.6%,0.5,0.7,68.2%,0.3,0.9,1.3,0.4,0.5,0.5,0.2,0.1,1.6,0.8,2
15,JEFFERY TAYLOR,RMB,32,14,14:45,3.6,0.9,1.6,58.8%,0.4,1.5,26.5%,0.5,0.6,75%,0.7,0.8,1.5,0.5,0.4,0.7,0.1,0.1,2,0.7,2
16,JONAS MATTISSECK,BER,31,9,13:48,3,0.3,0.7,42.9%,0.7,2.1,35.9%,0.2,0.3,87.5%,0.2,0.8,1.1,0.9,0.4,0.5,0,0.1,1.8,0.9,2.1
17,CHARLES JENKINS,OLY,34,21,15:52,2.9,0.6,0.9,67.7%,0.5,1.2,42.5%,0.1,0.2,66.7%,0.1,1.1,1.2,0.9,0.8,0.4,0,0.1,2.3,0.3,2.2
18,LEONIDAS KASELAKIS,PAO,28,3,9:58,2.2,0.2,0.6,41.2%,0.4,1,41.4%,0.4,0.6,61.1%,0.6,0.9,1.5,0.5,0.2,0.2,0,0,1.1,0.7,2.6
19,LEANDRO BOLMARO,FCB,30,0,9:49,2.9,0.7,1.7,42%,0.3,0.7,38.1%,0.7,0.9,78.6%,0.3,0.8,1.1,1.3,0.3,0.9,0.1,0.1,1.4,1,2.6
20,LOUIS OLINDE,BER,25,6,15:59,4.3,1,2.4,41.7%,0.6,1.7,35.7%,0.5,0.8,65%,1.1,1.6,2.7,0.2,0.5,0.8,0.2,0.3,2.2,1.2,3
21,JANIS STRELNIEKS,CSK,26,3,13:49,4.4,0.9,1.9,46%,0.8,1.8,41.7%,0.3,0.5,64.3%,0.1,0.7,0.8,1.6,0.3,0.5,0,0,1.7,0.6,3.2
