Rank,Player Name,Team,Games Played,Games Started,Minutes,Points,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,TR,AST,STL,TO,BLK,BLKA,FC,FD,PIR
1,LEON KRATZER,PBB,27,0,9:31,0.6,0.3,0.8,33.3%,0,0,0%,0.1,0.2,60%,0.9,1.4,2.4,0.2,0.3,0.8,0.3,0,2.6,0.3,0.1
2,JONAS MATTISSECK,BER,29,5,13:19,2.4,0.2,0.7,36.8%,0.6,2.6,23%,0.2,0.2,85.7%,0.1,0.7,0.8,0.5,0.5,0.3,0,0.2,1.8,1,0.4
3,HUGO GONZALEZ,RMB,30,1,7:32,1.9,0.3,0.9,35.7%,0.3,0.9,33.3%,0.4,0.5,68.8%,0.2,1,1.3,0.3,0.1,0.5,0.3,0.1,1.2,0.5,1.2
4,IVAN KHARCHENKOV,BAY,23,0,7:01,2.9,0.8,1.4,59.4%,0.3,0.9,28.6%,0.4,0.7,58.8%,0.1,0.7,0.7,0.5,0.2,0.9,0.1,0.3,1.1,0.7,1.2
5,PANAGIOTIS KALAITZAKIS,PAO,32,10,7:21,1.8,0.5,0.9,55.2%,0.1,0.7,19%,0.4,0.6,72.2%,0.3,0.4,0.8,0.4,0.5,0.3,0,0.1,1.1,0.5,1.3
6,OGNJEN JARAMAZ,BKN,22,0,10:06,2,0.4,1.4,29%,0.3,1.2,23.1%,0.3,0.5,63.6%,0.3,0.3,0.5,1.6,0.5,0.6,0,0,1.4,0.9,1.4
7,EDWIN JACKSON,ASV,22,3,15:01,3.6,0.8,1.8,46.2%,0.5,2.2,25%,0.4,0.4,100%,0.4,1.1,1.5,0.6,0.2,0.5,0,0.2,1.7,0.9,1.8
8,BRADY MANEK,ZAL,24,11,8:56,3.3,0.3,0.7,43.8%,0.9,2.3,37.5%,0.1,0.2,50%,0.2,1,1.2,0.3,0.2,0.3,0,0,1.2,0.3,1.9
9,OGNJEN DOBRIC,CZV,27,13,11:04,3.5,0.9,1.4,60.5%,0.5,1.7,28.9%,0.3,0.4,75%,0.3,0.8,1.1,0.4,0.5,0.6,0.1,0,1.3,0.6,2.3
10,IOANNIS PAPAPETROU,PAO,26,6,10:34,2.8,0.8,1.4,59.5%,0.2,1,22.2%,0.5,0.8,57.1%,0.3,0.7,1,0.4,0.4,0.5,0.1,0,1,0.9,2.3
11,MARCO BELINELLI,VIR,30,1,13:44,6.2,1.1,2.5,45.3%,1,3.4,29.4%,0.9,1.1,81.8%,0.1,0.4,0.5,0.9,0.3,0.6,0,0.2,1.4,0.8,2.5
12,JAKE COHEN,MTA,23,0,9:30,2.8,0.7,1.2,57.1%,0.2,0.7,33.3%,0.7,0.7,100%,0.6,0.9,1.5,0.4,0.1,0.6,0,0.2,1.1,0.6,2.6
