Rank,Player Name,Team,Position,FPT,CR,PLUS,GP,MIN,ST,PTS,REB,AST,STL,BLK,BA,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,TOV,PF,FD,+/-
1,T. Jones,PAR,C,30.80,14.3,+0.6,1,25,1,16,8,3,3,0,0,6,9,66.7,0,0,0.0,4,5,80.0,5,3,0,2,4,-1
2,I. Cordinier,EFS,G,30.00,10.7,+0.7,1,29,1,24,4,1,1,0,0,6,6,100.0,3,3,100.0,9,11,81.8,1,3,1,3,6,-5
3,D. Theis,ASM,C,29.70,14.3,+0.6,1,28,1,17,10,0,0,1,0,7,7,100.0,0,0,0.0,3,4,75.0,2,8,0,3,3,8
4,C. Okeke,RMB,F,27.50,13.8,+0.5,1,22,0,17,5,0,0,1,0,5,5,100.0,4,4,100.0,3,3,100.0,3,2,0,0,2,-3
5,D. Booker,EA7,C,27.00,12.8,+0.6,1,30,1,15,8,2,0,0,0,5,9,55.6,1,2,50.0,4,4,100.0,5,3,0,1,7,-8
6,K. Nunn,PAO,G,26.40,15.7,+0.4,1,31,1,30,7,2,0,0,2,12,20,60.0,3,7,42.9,3,3,100.0,2,5,4,4,3,13
7,N. Hifi,PBB,G,25.30,12.7,+0.5,1,23,1,20,1,6,4,0,0,6,14,42.9,4,11,36.4,4,5,80.0,0,1,0,2,3,8
8,I. Bonga,PAR,F,25.30,9.7,+0.6,1,30,1,18,7,1,0,0,0,6,8,75.0,0,1,0.0,6,6,100.0,3,4,2,2,3,-2
9,S. Brown,PAR,G,24.20,10.8,+0.5,1,31,1,24,1,2,1,1,0,8,15,53.3,3,7,42.9,5,6,83.3,0,1,1,3,5,3
10,O. Brissett,MTA,F,24.20,12.0,+0.4,1,29,1,19,4,1,1,0,0,5,6,83.3,2,2,100.0,7,8,87.5,2,2,1,5,5,0
11,J. Hernangomez,PAO,F,23.10,14.0,+0.3,1,30,1,15,10,0,1,1,0,4,9,44.4,2,5,40.0,5,5,100.0,3,7,2,1,2,-8
12,T. Blatt,MTA,G,22.00,8.4,+0.5,1,23,1,11,4,7,1,0,0,4,5,80.0,3,3,100.0,0,0,0.0,0,4,3,0,1,13
