#,Player,Pos,Team,FPT,CR,PLUS,GP,MIN,ST,PTS,REB,AST,STL,BLK,BA,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,TOV,PF,FD,+/-
1,S. Vezenkov,F,OLY,34.10,17.8,+0.6,1,30,1,23,10,2,0,0,0,8,12,66.7,2,5,40.0,5,5,100.0,1,9,1,1,2,11
2,C. Osman,F,PAO,33.00,12.9,+0.8,1,34,1,29,5,0,0,0,0,9,14,64.3,6,10,60.0,5,6,83.3,0,5,1,2,5,15
3,N. Milutinov,C,OLY,33.00,14.1,+0.7,1,21,1,23,5,0,0,0,0,8,9,88.9,0,0,0.0,7,8,87.5,4,1,0,4,8,9
4,D. Oturu,C,HTA,31.90,12.1,+0.8,1,30,1,18,9,1,1,2,0,6,9,66.7,0,0,0.0,6,8,75.0,5,4,1,3,7,11
5,C. Edwards,G,VIR,30.80,14.5,+0.6,1,27,1,36,1,1,1,0,2,12,22,54.5,5,12,41.7,7,8,87.5,0,1,2,2,6,6
6,F. Petrusev,F,DUB,30.80,13.8,+0.7,1,23,1,23,8,0,0,1,0,7,12,58.3,2,3,66.7,7,7,100.0,4,4,0,3,4,3
7,A. Butkevicius,F,ZAL,28.00,7.2,+0.8,1,27,0,20,5,1,3,0,0,7,8,87.5,6,7,85.7,0,0,0.0,1,4,0,1,1,-8
8,J. Dowtin Jr,G,MTA,27.00,12.1,+0.6,1,23,0,24,1,1,1,0,0,8,9,88.9,6,7,85.7,2,2,100.0,0,1,0,2,3,-7
9,C. Jones,G,PAR,25.30,14.4,+0.4,1,36,1,18,1,10,0,1,0,8,13,61.5,1,2,50.0,1,2,50.0,1,0,3,3,5,13
10,C. Okeke,F,RMB,25.00,13.8,+0.4,1,24,0,16,8,3,0,0,0,6,8,75.0,2,3,66.7,2,2,100.0,5,3,0,1,1,-15
11,C. Miller-mcintyre,G,CZV,24.20,10.7,+0.5,1,31,1,18,8,8,1,0,1,7,14,50.0,3,5,60.0,1,2,50.0,1,7,2,3,1,15
12,H. Diallo,F,BKN,24.00,11.6,+0.5,1,27,0,20,3,6,0,1,0,7,11,63.6,1,3,33.3,5,6,83.3,0,3,3,4,6,-2
13,M. Guduric,G,EA7,23.10,11.2,+0.4,1,21,0,14,7,1,1,0,0,3,6,50.0,2,4,50.0,6,6,100.0,2,5,2,2,5,3
14,O. Yurtseven,C,PAO,23.10,9.1,+0.5,1,16,1,15,4,2,1,0,0,6,7,85.7,0,0,0.0,3,3,100.0,2,2,0,2,2,-1
15,M. Kabengele,C,DUB,23.10,13.7,+0.3,1,26,1,10,13,1,0,2,1,4,10,40.0,0,2,0.0,2,2,100.0,2,11,0,1,3,22
