Player,Fantasy price
Corey Davis NIN,12.6
Bryce Jones ARI,12.3
Paulius Danusevicius PNV,8.9
Ronnie Harrell ARI,9.6
Mitch Creek,12.6
Malachi Flynn BAH,14.6
Jaleen Smith TUR,13.0
Bryn Forbes ARI,10.7
Jared Harper HJE,17.2
Jamel Morris PNV,6.8
DJ Steward TRT,10.2
Rihards Lomazs NEP,9.9
Kadre Gray WRO,11.2
Kyle Allman Jr. TUR,11.8
Michael Lountzis PNO,8.7
Shane Larkin EFS,13.8
Glynn Watson ASV,10.1
Markel Starks PNO,10.2
Khadeen Carrington HJE,10.4
Jerry Boutsiele BUD,11.4
Tobias Jensen ULM,7.1
Jonah Mathews BSK,10.4
Kristian Kullamae PNV,9.1
R.J. Cole REY,12.1
Kendrick Nunn PAO,15.8
Arnas Velicka NEP,11.9
Kobi Simmons BKN,9.0
Mark Smith ULM,11.9
Nike Sibande NIN,8.6
Tyler Ennis HTA,8.7
Rasheed Sulaimon BUD,11.6
Darius McGhee BOU,10.7
Dogus Ozdemiroglu TUR,8.8
Donatas Tarolis NEP,11.1
PJ Dozier EFS,7.6
Zacharie Perrin HAM,9.8
Matt Lewis PNO,10.0
Eric Reed Jr. HAM,8.9
Tyler Dorsey OLY,10.4
Yordan Minchev NIN,10.0
Sasha Vezenkov OLY,17.9
Noah Kirkwood WRO,8.8
Mike James ASM,15.8
Karim Jallow VIR,8.8
Jordan Parks REY,9.8
Iverson Molinar,11.2
Anthony Lamb HJE,13.5
Elijah Bryant HTA,13.6
Timothe Luwawu-Cabarrot BKN,11.3
Ky Bowman REY,11.1
Daniel Oturu HTA,11.9
Markus Howard BKN,7.9
Vasilije Micic HTA,15.2
Vytenis Lipkevicius PNV,7.9
Zach LeDay EA7,14.4
Carsen Edwards VIR,13.1
Jakub Niziol WRO,9.1
Jaylen Hoard MTA,13.9
Elie Okobo ASM,11.2
Leandro Bolmaro EA7,9.0
Ante Zizic BSK,12.7
Derrick Alston Jr. VIR,8.1
Isaac Bonga PAR,10.2
Kyle Alexander TUR,13.7
D.J. Stewart OLP,10.9
Steven Enoch ARI,11.5
Adam Mokoka BOU,9.9
Justin Smith HJE,11.0
Armoni Brooks EA7,7.8
Augustine Rubit PNV,11.1
Joel Scott LON,11.2
Both Gach BOU,8.6
Devante Jones TRT,11.3
Marius Grigonis PAO,6.0
Trevion Williams BAH,16.0
Yogi Ferrell BUD,12.5
Yovel Zoosman HJE,8.2
Shake Milton PAR,11.4
Alex Reyes MAN,8.0
Devon Hall FBB,9.1
Louis Olinde MAN,9.5
Matas Jogela TRT,8.3
Evan Fournier OLY,10.8
Alessandro Pajola VIR,7.8
Dzanan Musa DUB,12.8
T.J. Shorts II PAO,12.0
Thomas Klepeisz ULM,5.5
Trent Forrest BKN,10.4
Trey Woodbury,8.7
Yigit Arslan BSK,7.6
Jordan Nwora CZV,13.1
Shaquielle McKissic OLY,6.7
Vitto Brown BSK,9.4
Sterling Brown PAR,10.9
Thomas Kennedy OLP,10.8
Georgios Tsalmpouris PNO,7.6
Justinian Jessup BAY,6.9
Ercan Osmani EFS,8.3
Jeffery Taylor,7.6
